done;strongagent1_acts;strongagent2_acts;lazyagent0_acts;lazyagent1_acts;lazyagent2_acts;lazyagent3_acts;lazyagent4_acts;lazyagent5_acts;strongagent1_mssg;strongagent2_mssg;lazyagent0_mssg;lazyagent1_mssg;lazyagent2_mssg;lazyagent3_mssg;lazyagent4_mssg;lazyagent5_mssg;world_nr;tick_nr
False;;;;;;;;;0;0;0;0;0;0;0;0;1;0
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;MoveSouthWest;MoveSouthWest;MoveSouthEast;0;0;0;0;0;0;0;0;1;1
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;MoveSouthWest;MoveSouthWest;MoveSouthEast;1;1;1;1;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthEast;MoveSouthWest;MoveSouthWest;MoveSouthWest;1;1;1;1;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthEast;MoveSouthWest;MoveSouthWest;MoveSouthWest;1;1;2;1;1;1;1;2;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveEast;MoveWest;MoveWest;MoveWest;1;1;2;1;1;1;1;2;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveEast;MoveWest;MoveWest;MoveWest;1;1;3;1;1;1;1;3;1;6
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouthWest;MoveWest;MoveWest;1;1;3;1;1;1;1;3;1;7
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouthWest;MoveWest;MoveWest;1;1;3;1;1;1;1;3;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouth;MoveSouthWest;MoveWest;1;1;3;1;1;1;1;3;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouth;MoveSouthWest;MoveWest;1;1;3;1;1;1;1;3;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveWest;1;1;3;1;1;1;1;3;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveWest;1;1;3;1;1;1;1;3;1;12
False;MoveSouth;MoveSouthEast;MoveSouthEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveWest;1;1;3;1;1;1;1;3;1;13
False;MoveSouth;MoveSouthEast;MoveSouthEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveWest;1;1;3;1;1;1;1;3;1;14
False;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouthWest;1;1;3;1;1;1;1;3;1;15
False;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouthWest;1;1;3;1;1;1;1;3;1;16
False;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;3;1;1;1;1;3;1;17
False;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;3;1;1;1;1;3;1;18
False;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;3;1;1;1;1;3;1;19
False;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;3;1;1;1;1;3;1;20
False;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;3;1;1;1;1;3;1;21
False;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;3;1;1;1;1;3;1;22
False;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouthEast;1;1;3;1;1;1;1;3;1;23
False;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouthEast;1;1;3;1;1;1;1;3;1;24
False;MoveSouthEast;MoveEast;MoveEast;MoveSouthEast;MoveEast;MoveSouth;MoveSouth;MoveEast;1;1;3;1;1;1;1;3;1;25
False;MoveSouthEast;MoveEast;MoveEast;MoveSouthEast;MoveEast;MoveSouth;MoveSouth;MoveEast;1;1;3;1;1;1;1;3;1;26
False;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;MoveSouth;MoveSouth;MoveEast;1;1;3;1;1;1;1;3;1;27
False;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;MoveSouth;MoveSouth;MoveEast;1;1;3;1;1;1;1;3;1;28
False;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;MoveSouth;MoveSouth;MoveEast;1;1;3;1;1;1;1;3;1;29
False;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;MoveSouth;MoveSouth;MoveEast;1;1;3;1;1;1;1;3;1;30
