done;liaragent_acts;liaragent1_acts;strongagent0_acts;strongagent1_acts;liaragent_mssg;liaragent1_mssg;strongagent0_mssg;strongagent1_mssg;world_nr;tick_nr
False;;;;;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;2;2;2;2;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;2;2;2;2;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;3;3;3;3;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;3;3;3;3;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;4;4;4;4;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;4;4;4;4;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;5;5;5;5;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;5;5;5;5;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;6;6;6;6;1;12
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;6;6;6;6;1;13
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;7;7;7;7;1;14
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;7;7;7;7;1;15
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;8;8;8;8;1;16
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;8;8;8;8;1;17
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;9;9;9;9;1;18
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;9;9;9;9;1;19
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;10;10;10;10;1;20
False;OpenDoorAction;MoveSouth;MoveSouth;MoveSouth;10;10;10;10;1;21
False;OpenDoorAction;MoveSouth;MoveSouth;MoveSouth;11;11;11;11;1;22
False;MoveNorth;MoveSouth;MoveSouth;MoveSouth;11;11;11;11;1;23
False;MoveNorth;MoveSouth;MoveSouth;MoveSouth;12;12;12;12;1;24
False;MoveNorthWest;MoveSouth;MoveSouthEast;MoveSouthEast;12;12;12;12;1;25
False;MoveNorthWest;MoveSouth;MoveSouthEast;MoveSouthEast;13;13;13;13;1;26
False;MoveNorthWest;MoveSouth;MoveEast;MoveEast;13;13;13;13;1;27
False;MoveNorthWest;MoveSouth;MoveEast;MoveEast;14;14;14;14;1;28
False;GrabObject;MoveSouth;MoveEast;MoveEast;14;14;14;14;1;29
False;GrabObject;MoveSouth;MoveEast;MoveEast;15;15;15;15;1;30
False;MoveSouthEast;MoveSouth;MoveEast;MoveEast;15;15;15;15;1;31
False;MoveSouthEast;MoveSouth;MoveEast;MoveEast;16;16;16;16;1;32
False;MoveSouthEast;MoveSouth;MoveEast;MoveEast;16;16;16;16;1;33
False;MoveSouthEast;MoveSouth;MoveEast;MoveEast;17;17;17;17;1;34
False;MoveSouthWest;MoveSouth;MoveEast;MoveEast;17;17;17;17;1;35
False;MoveSouthWest;MoveSouth;MoveEast;MoveEast;18;18;18;18;1;36
False;MoveSouthWest;MoveSouthEast;MoveEast;MoveEast;18;18;18;18;1;37
False;MoveSouthWest;MoveSouthEast;MoveEast;MoveEast;19;19;19;19;1;38
False;MoveWest;MoveEast;MoveEast;MoveEast;19;19;19;19;1;39
False;MoveWest;MoveEast;MoveEast;MoveEast;20;20;20;20;1;40
False;MoveSouthWest;MoveEast;MoveEast;MoveEast;20;20;20;20;1;41
False;MoveSouthWest;MoveEast;MoveEast;MoveEast;21;21;21;21;1;42
False;MoveSouth;MoveEast;MoveEast;MoveEast;21;21;21;21;1;43
False;MoveSouth;MoveEast;MoveEast;MoveEast;22;22;22;22;1;44
False;MoveSouth;MoveEast;OpenDoorAction;OpenDoorAction;22;22;22;22;1;45
False;MoveSouth;MoveEast;OpenDoorAction;OpenDoorAction;23;23;23;23;1;46
False;MoveSouth;MoveEast;MoveNorth;MoveNorth;23;23;23;23;1;47
False;MoveSouth;MoveEast;MoveNorth;MoveNorth;24;24;24;24;1;48
