done;baseagent_acts;blindagent_acts;blindagent2_acts;baseagent_mssg;blindagent_mssg;blindagent2_mssg;world_nr;tick_nr
False;;;;0;0;0;1;0
False;MoveSouth;MoveSouth;MoveSouth;0;0;0;1;1
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;6
False;MoveSouthEast;MoveSouth;MoveSouth;1;1;1;1;7
False;MoveSouthEast;MoveSouth;MoveSouth;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;12
False;MoveSouth;MoveSouthEast;MoveSouth;1;1;1;1;13
False;MoveSouth;MoveSouthEast;MoveSouth;1;1;1;1;14
False;MoveSouth;MoveEast;MoveSouth;1;1;1;1;15
False;MoveSouth;MoveEast;MoveSouth;1;1;1;1;16
False;MoveSouth;MoveEast;MoveSouth;1;1;1;1;17
False;MoveSouth;MoveEast;MoveSouth;1;1;1;1;18
False;MoveSouth;MoveEast;MoveSouth;1;1;1;1;19
False;MoveSouth;MoveEast;MoveSouth;1;1;1;1;20
False;MoveSouth;OpenDoorAction;MoveSouth;1;1;1;1;21
False;MoveSouth;OpenDoorAction;MoveSouth;1;2;1;1;22
False;MoveSouth;MoveNorth;MoveSouth;1;2;1;1;23
False;MoveSouth;MoveNorth;MoveSouth;1;3;1;1;24
False;MoveSouthEast;MoveNorthWest;MoveSouthEast;1;3;1;1;25
False;MoveSouthEast;MoveNorthWest;MoveSouthEast;1;3;1;1;26
False;MoveEast;GrabObject;MoveEast;1;3;1;1;27
False;MoveEast;GrabObject;MoveEast;1;4;1;1;28
False;MoveEast;MoveSouthEast;MoveEast;1;4;1;1;29
False;MoveEast;MoveSouthEast;MoveEast;1;4;1;1;30
False;MoveEast;MoveSouthWest;MoveEast;1;4;1;1;31
False;MoveEast;MoveSouthWest;MoveEast;1;4;1;1;32
False;OpenDoorAction;MoveSouthWest;MoveEast;1;4;1;1;33
False;OpenDoorAction;MoveSouthWest;MoveEast;2;4;1;1;34
False;MoveNorth;MoveWest;MoveEast;2;4;1;1;35
