done;strongagent1_acts;strongagent2_acts;lazyagent0_acts;lazyagent1_acts;lazyagent2_acts;lazyagent3_acts;lazyagent4_acts;lazyagent5_acts;strongagent1_mssg;strongagent2_mssg;lazyagent0_mssg;lazyagent1_mssg;lazyagent2_mssg;lazyagent3_mssg;lazyagent4_mssg;lazyagent5_mssg;world_nr;tick_nr
False;;;;;;;;;0;0;0;0;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;MoveSouthWest;MoveSouthWest;MoveSouthWest;0;0;0;0;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;MoveSouthWest;MoveSouthWest;MoveSouthWest;1;1;1;1;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthWest;MoveSouthWest;MoveSouthWest;1;1;1;1;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthWest;MoveSouthWest;MoveSouthWest;1;1;1;1;2;1;2;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveWest;MoveWest;MoveWest;MoveWest;1;1;1;1;2;1;2;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveWest;MoveWest;MoveWest;MoveWest;1;1;1;1;3;1;2;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveWest;MoveSouthWest;MoveWest;MoveWest;1;1;1;1;3;1;2;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveWest;MoveSouthWest;MoveWest;MoveWest;1;1;1;1;3;1;2;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouth;MoveSouthWest;MoveWest;1;1;1;1;3;1;2;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouth;MoveSouthWest;MoveWest;1;1;1;1;3;1;2;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;3;1;2;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;3;1;2;1;1;12
False;MoveSouthEast;MoveSouthEast;MoveSouth;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;3;1;2;1;1;13
False;MoveSouthEast;MoveSouthEast;MoveSouth;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;3;1;2;1;1;14
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;3;1;2;1;1;15
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;3;1;2;1;1;16
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;3;1;2;1;1;17
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;3;1;2;1;1;18
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;3;1;2;1;1;19
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;3;1;2;1;1;20
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;3;1;2;1;1;21
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;2;3;1;2;1;1;22
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;2;3;1;2;1;1;23
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;2;3;1;2;1;1;24
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;2;3;1;2;1;1;25
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;2;3;1;2;1;1;26
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;2;3;1;2;1;1;27
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;2;3;1;2;1;1;28
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;2;3;1;2;1;1;29
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;2;3;1;2;1;1;30
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveSouth;MoveSouthEast;1;1;1;2;3;1;2;1;1;31
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveSouth;MoveSouthEast;1;1;1;2;3;1;2;1;1;32
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveSouth;MoveEast;1;1;1;2;3;1;2;1;1;33
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveSouth;MoveEast;1;1;1;2;3;1;2;1;1;34
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveSouth;MoveEast;1;1;1;2;3;1;2;1;1;35
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveSouth;MoveEast;1;1;1;2;3;1;2;1;1;36
False;MoveEast;MoveEast;MoveSouthEast;MoveEast;OpenDoorAction;MoveSouth;MoveSouth;MoveEast;1;1;1;2;3;1;2;1;1;37
False;MoveEast;MoveEast;MoveSouthEast;MoveEast;OpenDoorAction;MoveSouth;MoveSouth;MoveEast;1;1;1;2;4;1;2;1;1;38
False;MoveEast;MoveEast;MoveEast;MoveEast;MoveSouthWest;MoveSouthEast;MoveSouth;MoveEast;1;1;1;2;4;1;2;1;1;39
False;MoveEast;MoveEast;MoveEast;MoveEast;MoveSouthWest;MoveSouthEast;MoveSouth;MoveEast;1;1;1;2;5;1;2;1;1;40
False;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;MoveSouthEast;MoveEast;1;1;1;2;5;1;2;1;1;41
False;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;MoveSouthEast;MoveEast;1;1;1;2;6;1;2;1;1;42
False;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;2;6;1;2;1;1;43
False;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;2;7;1;2;1;1;44
False;OpenDoorAction;OpenDoorAction;OpenDoorAction;OpenDoorAction;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;2;7;1;2;1;1;45
False;OpenDoorAction;OpenDoorAction;OpenDoorAction;OpenDoorAction;MoveEast;MoveEast;MoveEast;MoveEast;2;2;2;3;8;1;2;1;1;46
False;MoveNorth;MoveNorth;MoveWest;MoveNorth;MoveEast;MoveEast;MoveEast;MoveEast;2;2;2;3;8;1;2;1;1;47
False;MoveNorth;MoveNorth;MoveWest;MoveNorth;MoveEast;MoveEast;MoveEast;MoveEast;3;3;3;4;9;1;2;1;1;48
False;MoveNorthWest;MoveNorthWest;MoveWest;MoveNorthWest;MoveNorthWest;MoveEast;MoveEast;MoveEast;3;3;3;4;9;1;2;1;1;49
False;MoveNorthWest;MoveNorthWest;MoveWest;MoveNorthWest;MoveNorthWest;MoveEast;MoveEast;MoveEast;3;3;3;4;10;1;2;1;1;50
False;GrabObject;GrabObject;MoveWest;MoveNorthWest;MoveWest;MoveEast;MoveEast;OpenDoorAction;3;3;3;4;10;1;2;1;1;51
False;GrabObject;GrabObject;MoveWest;MoveNorthWest;MoveWest;MoveEast;MoveEast;OpenDoorAction;4;4;3;5;10;1;2;2;1;52
False;MoveSouthEast;MoveSouthEast;MoveNorthWest;MoveSouthEast;MoveWest;MoveEast;MoveEast;MoveNorth;4;4;3;5;10;1;2;2;1;53
False;MoveSouthEast;MoveSouthEast;MoveNorthWest;MoveSouthEast;MoveWest;MoveEast;MoveEast;MoveNorth;4;5;3;6;10;1;2;3;1;54
False;MoveSouthEast;MoveSouthWest;MoveNorth;MoveSouthEast;MoveWest;MoveEast;MoveEast;MoveNorthWest;4;5;3;6;10;1;2;3;1;55
False;MoveSouthEast;MoveSouthWest;MoveNorth;MoveSouthEast;MoveWest;MoveEast;MoveEast;MoveNorthWest;4;5;3;7;10;1;2;3;1;56
False;MoveSouthEast;MoveWest;MoveNorth;MoveSouthWest;MoveWest;MoveEast;MoveEast;MoveNorthWest;4;5;3;7;10;1;2;3;1;57
False;MoveSouthEast;MoveWest;MoveNorth;MoveSouthWest;MoveWest;MoveEast;MoveEast;MoveNorthWest;4;5;3;8;10;1;2;3;1;58
False;MoveSouthEast;MoveWest;MoveNorth;MoveWest;MoveWest;OpenDoorAction;MoveEast;GrabObject;4;5;3;8;10;1;2;3;1;59
