done;strongagent_acts;strongagent1_acts;strongagent2_acts;strongagent3_acts;strongagent_mssg;strongagent1_mssg;strongagent2_mssg;strongagent3_mssg;world_nr;tick_nr
False;;;;;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;12
False;MoveSouth;MoveSouthEast;MoveSouthEast;MoveSouth;1;1;1;1;1;13
False;MoveSouth;MoveSouthEast;MoveSouthEast;MoveSouth;1;1;1;1;1;14
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;15
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;16
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;17
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;18
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;19
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;20
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;21
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;22
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;23
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;24
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;25
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;26
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;27
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;28
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;29
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;30
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;31
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;32
False;MoveSouth;OpenDoorAction;OpenDoorAction;MoveSouth;1;1;1;1;1;33
False;MoveSouth;OpenDoorAction;OpenDoorAction;MoveSouth;1;2;2;1;1;34
False;MoveSouth;MoveNorth;MoveNorth;MoveSouth;1;2;2;1;1;35
False;MoveSouth;MoveNorth;MoveNorth;MoveSouth;1;3;3;1;1;36
False;MoveSouthEast;MoveNorthWest;MoveNorthWest;MoveSouthEast;1;3;3;1;1;37
False;MoveSouthEast;MoveNorthWest;MoveNorthWest;MoveSouthEast;1;3;3;1;1;38
False;MoveEast;MoveNorthWest;MoveNorthWest;MoveEast;1;3;3;1;1;39
False;MoveEast;MoveNorthWest;MoveNorthWest;MoveEast;1;3;3;1;1;40
False;MoveEast;MoveSouth;MoveSouth;MoveEast;1;3;3;1;1;41
False;MoveEast;MoveSouth;MoveSouth;MoveEast;1;3;3;1;1;42
False;MoveEast;MoveNorthEast;MoveNorthEast;MoveEast;1;3;3;1;1;43
False;MoveEast;MoveNorthEast;MoveNorthEast;MoveEast;1;3;3;1;1;44
False;MoveEast;GrabObject;GrabObject;MoveEast;1;3;3;1;1;45
False;MoveEast;GrabObject;GrabObject;MoveEast;1;4;4;1;1;46
False;MoveEast;MoveSouth;MoveSouthEast;MoveEast;1;4;4;1;1;47
False;MoveEast;MoveSouth;MoveSouthEast;MoveEast;1;5;5;1;1;48
