done;baseagent_acts;baseagent1_acts;baseagent2_acts;baseagent3_acts;baseagent_mssg;baseagent1_mssg;baseagent2_mssg;baseagent3_mssg;world_nr;tick_nr
False;;;;;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;12
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;13
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;14
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;15
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;16
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;17
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;18
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;19
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;20
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;21
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;22
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;23
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;24
False;MoveSouth;MoveSouthEast;MoveSouthEast;MoveSouthEast;1;1;1;1;1;25
False;MoveSouth;MoveSouthEast;MoveSouthEast;MoveSouthEast;1;1;1;1;1;26
False;MoveSouth;MoveEast;MoveEast;MoveEast;1;1;1;1;1;27
False;MoveSouth;MoveEast;MoveEast;MoveEast;1;1;1;1;1;28
False;MoveSouth;MoveEast;MoveEast;MoveEast;1;1;1;1;1;29
False;MoveSouth;MoveEast;MoveEast;MoveEast;1;1;1;1;1;30
False;MoveSouth;MoveEast;MoveEast;MoveEast;1;1;1;1;1;31
False;MoveSouth;MoveEast;MoveEast;MoveEast;1;1;1;1;1;32
False;MoveSouth;OpenDoorAction;OpenDoorAction;MoveEast;1;1;1;1;1;33
False;MoveSouth;OpenDoorAction;OpenDoorAction;MoveEast;1;2;2;1;1;34
False;MoveSouth;MoveNorth;MoveNorth;MoveEast;1;2;2;1;1;35
False;MoveSouth;MoveNorth;MoveNorth;MoveEast;1;3;3;1;1;36
False;MoveSouthEast;MoveNorthWest;MoveNorthWest;MoveEast;1;3;3;1;1;37
False;MoveSouthEast;MoveNorthWest;MoveNorthWest;MoveEast;1;3;3;1;1;38
