done;strongagent1_acts;strongagent2_acts;lazyagent_acts;lazyagent1_acts;strongagent1_mssg;strongagent2_mssg;lazyagent_mssg;lazyagent1_mssg;world_nr;tick_nr
False;;;;;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;2;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;2;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;3;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;3;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;4;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;4;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;4;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;4;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;4;1;1;12
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouthEast;1;1;4;1;1;13
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouthEast;1;1;4;1;1;14
False;MoveEast;MoveSouth;MoveSouth;MoveEast;1;1;4;1;1;15
False;MoveEast;MoveSouth;MoveSouth;MoveEast;1;1;4;1;1;16
False;MoveEast;MoveSouth;MoveSouth;MoveEast;1;1;4;1;1;17
False;MoveEast;MoveSouth;MoveSouth;MoveEast;1;1;4;1;1;18
False;MoveEast;MoveSouth;MoveSouth;MoveEast;1;1;4;1;1;19
False;MoveEast;MoveSouth;MoveSouth;MoveEast;1;1;4;1;1;20
False;OpenDoorAction;MoveSouth;MoveSouth;MoveSouthEast;1;1;4;1;1;21
False;OpenDoorAction;MoveSouth;MoveSouth;MoveSouthEast;2;1;4;2;1;22
False;MoveNorth;MoveSouth;MoveSouth;MoveEast;2;1;4;2;1;23
False;MoveNorth;MoveSouth;MoveSouth;MoveEast;3;1;4;3;1;24
False;MoveNorthWest;MoveSouth;MoveSouth;MoveWest;3;1;4;3;1;25
False;MoveNorthWest;MoveSouth;MoveSouth;MoveWest;3;1;4;4;1;26
False;MoveNorthWest;MoveSouth;MoveSouth;MoveWest;3;1;4;4;1;27
False;MoveNorthWest;MoveSouth;MoveSouth;MoveWest;3;1;4;4;1;28
False;GrabObject;MoveSouth;MoveSouth;MoveWest;3;1;4;4;1;29
False;GrabObject;MoveSouth;MoveSouth;MoveWest;4;1;4;4;1;30
False;MoveSouthEast;MoveSouth;MoveSouth;MoveWest;4;1;4;4;1;31
False;MoveSouthEast;MoveSouth;MoveSouth;MoveWest;4;1;4;4;1;32
False;MoveSouthEast;MoveSouth;MoveSouth;MoveWest;4;1;4;4;1;33
False;MoveSouthEast;MoveSouth;MoveSouth;MoveWest;4;1;4;4;1;34
False;MoveSouthWest;MoveSouth;MoveSouth;MoveSouthWest;4;1;4;4;1;35
False;MoveSouthWest;MoveSouth;MoveSouth;MoveSouthWest;4;1;4;4;1;36
False;MoveSouthWest;MoveSouthEast;MoveSouthEast;MoveSouth;4;1;4;4;1;37
False;MoveSouthWest;MoveSouthEast;MoveSouthEast;MoveSouth;4;1;4;4;1;38
False;MoveWest;MoveEast;MoveEast;MoveSouth;4;1;4;4;1;39
False;MoveWest;MoveEast;MoveEast;MoveSouth;4;1;4;4;1;40
False;MoveSouthWest;MoveEast;MoveEast;MoveSouth;4;1;4;4;1;41
False;MoveSouthWest;MoveEast;MoveEast;MoveSouth;4;1;4;4;1;42
False;MoveSouth;MoveEast;MoveEast;MoveSouth;4;1;4;4;1;43
False;MoveSouth;MoveEast;MoveEast;MoveSouth;4;1;4;4;1;44
False;MoveSouth;MoveEast;MoveEast;MoveSouth;4;1;4;4;1;45
False;MoveSouth;MoveEast;MoveEast;MoveSouth;4;1;4;4;1;46
False;MoveSouth;MoveEast;MoveEast;MoveSouth;4;1;4;4;1;47
False;MoveSouth;MoveEast;MoveEast;MoveSouth;4;1;4;4;1;48
