done;baseagent_acts;blindagent_acts;baseagent_mssg;blindagent_mssg;world_nr;tick_nr
False;;;0;0;1;0
False;MoveSouthEast;MoveSouth;0;0;1;1
False;MoveSouthEast;MoveSouth;1;1;1;2
False;MoveSouthEast;MoveSouth;1;1;1;3
False;MoveSouth;MoveSouth;1;1;1;4
False;MoveSouth;MoveSouth;1;1;1;5
False;MoveSouth;MoveSouth;1;1;1;6
False;MoveSouth;MoveSouth;1;1;1;7
False;MoveSouth;MoveSouth;1;1;1;8
False;MoveSouth;MoveSouth;1;1;1;9
False;MoveSouth;MoveSouth;1;1;1;10
False;MoveSouth;MoveSouth;1;1;1;11
False;MoveSouth;MoveSouth;1;1;1;12
False;MoveSouth;MoveSouth;1;1;1;13
False;MoveSouth;MoveSouth;1;1;1;14
False;MoveSouth;MoveSouth;1;1;1;15
False;MoveSouth;MoveSouth;1;1;1;16
False;MoveSouth;MoveSouth;1;1;1;17
False;MoveSouth;MoveSouth;1;1;1;18
False;MoveSouthEast;MoveSouth;1;1;1;19
False;MoveSouthEast;MoveSouth;1;1;1;20
False;MoveSouthEast;MoveSouth;1;1;1;21
False;MoveEast;MoveSouth;1;1;1;22
False;MoveEast;MoveSouth;1;1;1;23
False;MoveEast;MoveSouth;1;1;1;24
False;MoveEast;MoveSouth;1;1;1;25
False;MoveEast;MoveSouth;1;1;1;26
False;MoveEast;MoveSouth;1;1;1;27
False;MoveEast;MoveSouth;1;1;1;28
False;MoveEast;MoveSouth;1;1;1;29
False;MoveEast;MoveSouth;1;1;1;30
False;MoveEast;MoveSouth;1;1;1;31
False;MoveEast;MoveSouth;1;1;1;32
False;MoveEast;MoveSouth;1;1;1;33
False;MoveEast;MoveSouth;1;1;1;34
False;MoveEast;MoveSouth;1;1;1;35
False;MoveEast;MoveSouth;1;1;1;36
False;MoveEast;MoveSouthEast;1;1;1;37
False;MoveEast;MoveSouthEast;1;1;1;38
False;MoveEast;MoveEast;1;1;1;39
False;MoveEast;MoveEast;1;1;1;40
False;MoveEast;MoveEast;1;1;1;41
False;MoveEast;MoveEast;1;1;1;42
False;MoveEast;MoveEast;1;1;1;43
False;MoveEast;MoveEast;1;1;1;44
False;MoveEast;OpenDoorAction;1;1;1;45
False;MoveEast;OpenDoorAction;1;2;1;46
False;MoveEast;MoveNorth;1;2;1;47
False;MoveEast;MoveNorth;1;3;1;48
False;OpenDoorAction;MoveNorthWest;1;3;1;49
False;OpenDoorAction;MoveNorthWest;2;3;1;50
False;OpenDoorAction;MoveNorthWest;2;3;1;51
False;MoveNorth;MoveNorthWest;2;3;1;52
False;MoveNorth;MoveSouth;3;3;1;53
False;MoveNorth;MoveSouth;3;3;1;54
False;MoveNorthWest;MoveNorthEast;3;3;1;55
False;MoveNorthWest;MoveNorthEast;3;3;1;56
False;MoveNorthWest;MoveSouth;3;3;1;57
False;MoveNorthWest;MoveSouth;3;3;1;58
False;MoveNorthWest;MoveNorthEast;3;3;1;59
False;MoveNorthWest;MoveNorthEast;3;3;1;60
False;MoveSouth;MoveSouth;3;3;1;61
False;MoveSouth;MoveSouth;3;3;1;62
False;MoveSouth;MoveNorthEast;3;3;1;63
False;MoveNorthEast;MoveNorthEast;3;3;1;64
False;MoveNorthEast;MoveSouth;3;3;1;65
False;MoveNorthEast;MoveSouth;3;3;1;66
False;GrabObject;MoveSouthWest;3;3;1;67
False;GrabObject;MoveSouthWest;4;4;1;68
False;GrabObject;MoveSouthEast;4;4;1;69
False;MoveSouth;MoveSouthEast;4;4;1;70
False;MoveSouth;MoveEast;4;4;1;71
False;MoveSouth;MoveEast;4;4;1;72
False;MoveSouthEast;MoveEast;4;4;1;73
False;MoveSouthEast;MoveEast;4;4;1;74
False;MoveSouthEast;MoveEast;4;4;1;75
False;MoveSouthEast;MoveEast;4;4;1;76
False;MoveSouthEast;MoveEast;4;4;1;77
False;MoveSouthEast;MoveEast;4;4;1;78
False;MoveSouthEast;MoveEast;4;4;1;79
False;MoveSouthEast;MoveEast;4;4;1;80
False;MoveSouthEast;MoveEast;4;4;1;81
False;MoveEast;MoveEast;4;4;1;82
False;MoveEast;MoveEast;4;4;1;83
False;MoveEast;MoveEast;4;4;1;84
False;MoveEast;MoveEast;4;4;1;85
False;MoveEast;MoveEast;4;4;1;86
False;MoveEast;MoveEast;4;4;1;87
False;MoveEast;MoveEast;4;4;1;88
False;MoveEast;MoveEast;4;4;1;89
False;MoveEast;MoveEast;4;4;1;90
False;MoveEast;MoveEast;4;4;1;91
False;MoveEast;MoveEast;4;4;1;92
False;MoveEast;MoveEast;4;4;1;93
False;MoveEast;MoveEast;4;4;1;94
False;MoveEast;MoveEast;4;4;1;95
False;MoveEast;MoveEast;4;4;1;96
False;MoveEast;MoveNorthEast;4;4;1;97
False;MoveEast;MoveNorthEast;4;4;1;98
False;MoveEast;MoveNorth;4;4;1;99
False;MoveSouthEast;MoveNorth;4;4;1;100
False;MoveSouthEast;MoveNorth;4;4;1;101
False;MoveSouthEast;MoveNorth;4;4;1;102
False;MoveSouth;MoveNorth;4;4;1;103
False;MoveSouth;MoveNorth;4;4;1;104
False;MoveSouth;MoveNorth;4;4;1;105
False;MoveSouth;MoveNorth;4;4;1;106
False;MoveSouth;MoveNorth;4;4;1;107
False;MoveSouth;MoveNorth;4;4;1;108
False;MoveSouth;MoveNorth;4;4;1;109
False;MoveSouth;MoveNorth;4;4;1;110
False;MoveSouth;MoveNorth;4;4;1;111
False;MoveSouth;MoveNorth;4;4;1;112
False;MoveSouth;MoveNorth;4;4;1;113
False;MoveSouth;MoveNorth;4;4;1;114
False;MoveSouth;MoveNorth;4;4;1;115
False;MoveSouth;MoveNorth;4;4;1;116
False;MoveSouth;MoveNorthWest;4;4;1;117
False;MoveSouth;MoveNorthWest;4;4;1;118
False;MoveSouth;MoveNorthWest;4;4;1;119
False;MoveSouth;MoveNorthWest;4;4;1;120
False;MoveSouth;MoveWest;4;4;1;121
False;MoveSouth;MoveWest;4;4;1;122
False;MoveSouth;OpenDoorAction;4;4;1;123
False;MoveSouth;OpenDoorAction;4;5;1;124
False;MoveSouth;MoveNorth;4;5;1;125
False;MoveSouth;MoveNorth;4;6;1;126
False;MoveSouth;MoveNorthWest;4;6;1;127
False;MoveSouth;MoveNorthWest;4;6;1;128
False;MoveSouth;GrabObject;4;6;1;129
False;MoveSouthWest;GrabObject;4;7;1;130
False;MoveSouthWest;MoveSouthEast;4;7;1;131
False;MoveSouthWest;MoveSouthEast;4;7;1;132
False;MoveWest;MoveSouthEast;4;7;1;133
False;MoveWest;MoveSouthEast;4;7;1;134
False;MoveWest;MoveSouthEast;4;7;1;135
False;MoveWest;MoveSouthEast;4;7;1;136
False;MoveWest;MoveSouthEast;4;7;1;137
False;MoveWest;MoveSouthEast;4;7;1;138
False;MoveWest;MoveSouth;4;7;1;139
False;MoveWest;MoveSouth;4;7;1;140
False;MoveWest;MoveSouth;4;7;1;141
False;MoveWest;MoveSouth;4;7;1;142
False;MoveWest;MoveSouth;4;7;1;143
False;MoveWest;MoveSouth;4;7;1;144
False;MoveSouthWest;MoveSouth;4;7;1;145
False;MoveSouthWest;MoveSouth;4;7;1;146
False;MoveSouthWest;MoveSouth;4;7;1;147
False;DropObject;MoveSouth;4;7;1;148
False;DropObject;MoveSouth;5;7;1;149
False;DropObject;MoveSouth;5;7;1;150
False;MoveWest;MoveSouth;5;7;1;151
False;MoveWest;MoveSouth;6;7;1;152
False;MoveWest;MoveSouth;6;7;1;153
False;MoveNorthWest;MoveSouth;6;7;1;154
False;MoveNorthWest;MoveSouth;6;7;1;155
False;MoveNorthWest;MoveSouth;6;7;1;156
False;MoveWest;MoveSouthWest;6;7;1;157
False;MoveWest;MoveSouthWest;6;7;1;158
False;MoveWest;MoveSouthWest;6;7;1;159
False;OpenDoorAction;MoveSouthWest;6;7;1;160
False;OpenDoorAction;MoveSouthWest;7;7;1;161
False;OpenDoorAction;MoveSouthWest;7;7;1;162
False;MoveNorth;MoveWest;7;7;1;163
False;MoveNorth;MoveWest;8;7;1;164
False;MoveNorth;MoveWest;8;7;1;165
False;MoveNorthWest;MoveWest;8;7;1;166
False;MoveNorthWest;MoveSouthWest;8;7;1;167
False;MoveNorthWest;MoveSouthWest;8;7;1;168
False;MoveNorthWest;DropObject;8;7;1;169
False;MoveNorthWest;DropObject;8;8;1;170
False;MoveNorthWest;MoveNorthEast;8;8;1;171
False;MoveSouth;MoveNorthEast;8;9;1;172
False;MoveSouth;MoveNorthEast;8;9;1;173
False;MoveSouth;MoveNorthEast;8;9;1;174
False;MoveNorthEast;MoveNorthEast;8;9;1;175
False;MoveNorthEast;MoveNorthEast;8;9;1;176
False;MoveNorthEast;MoveEast;8;9;1;177
False;MoveSouth;MoveEast;8;9;1;178
False;MoveSouth;MoveEast;8;9;1;179
False;MoveSouth;MoveEast;8;9;1;180
False;MoveNorthEast;MoveNorthEast;8;9;1;181
False;MoveNorthEast;MoveNorthEast;8;9;1;182
False;MoveNorthEast;MoveNorth;8;9;1;183
False;MoveSouth;MoveNorth;8;9;1;184
