done;baseagent_acts;baseagent1_acts;baseagent2_acts;baseagent3_acts;baseagent_mssg;baseagent1_mssg;baseagent2_mssg;baseagent3_mssg;world_nr;tick_nr
False;;;;;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;12
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;13
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;14
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;15
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;16
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;17
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;18
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;19
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;20
False;OpenDoorAction;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;21
False;OpenDoorAction;MoveSouth;MoveSouth;MoveSouth;2;1;1;1;1;22
False;MoveNorth;MoveSouth;MoveSouth;MoveSouth;2;1;1;1;1;23
False;MoveNorth;MoveSouth;MoveSouth;MoveSouth;3;1;1;1;1;24
False;MoveNorthWest;MoveSouthEast;MoveSouthEast;MoveSouthEast;3;1;1;1;1;25
False;MoveNorthWest;MoveSouthEast;MoveSouthEast;MoveSouthEast;3;1;1;1;1;26
False;MoveNorthWest;MoveEast;MoveEast;MoveEast;3;1;1;1;1;27
False;MoveNorthWest;MoveEast;MoveEast;MoveEast;3;1;1;1;1;28
