done;baseagent0_acts;baseagent1_acts;liaragent_acts;baseagent0_mssg;baseagent1_mssg;liaragent_mssg;world_nr;tick_nr
False;;;;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;2;2;2;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;2;2;2;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;3;3;3;1;6
False;MoveSouth;MoveSouth;MoveSouth;3;3;3;1;7
False;MoveSouth;MoveSouth;MoveSouth;4;4;4;1;8
False;MoveSouth;MoveSouth;MoveSouth;4;4;4;1;9
False;MoveSouth;MoveSouth;MoveSouth;5;5;5;1;10
False;MoveSouth;MoveSouth;MoveSouth;5;5;5;1;11
False;MoveSouth;MoveSouth;MoveSouth;6;6;6;1;12
False;MoveSouth;MoveSouth;MoveSouthEast;6;6;6;1;13
False;MoveSouth;MoveSouth;MoveSouthEast;7;7;7;1;14
False;MoveSouth;MoveSouth;MoveEast;7;7;7;1;15
False;MoveSouth;MoveSouth;MoveEast;8;8;8;1;16
False;MoveSouth;MoveSouth;MoveEast;8;8;8;1;17
False;MoveSouth;MoveSouth;MoveEast;9;9;9;1;18
False;MoveSouth;MoveSouth;MoveEast;9;9;9;1;19
False;MoveSouth;MoveSouth;MoveEast;10;10;10;1;20
False;MoveSouth;MoveSouth;OpenDoorAction;10;10;10;1;21
False;MoveSouth;MoveSouth;OpenDoorAction;11;11;11;1;22
False;MoveSouth;MoveSouth;MoveNorth;11;11;11;1;23
False;MoveSouth;MoveSouth;MoveNorth;12;12;12;1;24
False;MoveSouthEast;MoveSouthEast;MoveNorthWest;12;12;12;1;25
False;MoveSouthEast;MoveSouthEast;MoveNorthWest;13;13;13;1;26
False;MoveEast;MoveEast;MoveNorthWest;13;13;13;1;27
False;MoveEast;MoveEast;MoveNorthWest;14;14;14;1;28
False;MoveEast;MoveEast;GrabObject;14;14;14;1;29
False;MoveEast;MoveEast;GrabObject;15;15;15;1;30
False;MoveEast;MoveEast;MoveSouthEast;15;15;15;1;31
False;MoveEast;MoveEast;MoveSouthEast;16;16;16;1;32
False;MoveEast;MoveEast;MoveSouthEast;16;16;16;1;33
False;MoveEast;MoveEast;MoveSouthEast;17;17;17;1;34
False;MoveEast;MoveEast;MoveSouthWest;17;17;17;1;35
False;MoveEast;MoveEast;MoveSouthWest;18;18;18;1;36
False;MoveEast;MoveEast;MoveSouthWest;18;18;18;1;37
False;MoveEast;MoveEast;MoveSouthWest;19;19;19;1;38
False;MoveEast;MoveEast;MoveWest;19;19;19;1;39
False;MoveEast;MoveEast;MoveWest;20;20;20;1;40
False;MoveEast;MoveEast;MoveSouthWest;20;20;20;1;41
False;MoveEast;MoveEast;MoveSouthWest;21;21;21;1;42
False;MoveEast;MoveEast;MoveSouth;21;21;21;1;43
False;MoveEast;MoveEast;MoveSouth;22;22;22;1;44
False;OpenDoorAction;MoveEast;MoveSouth;22;22;22;1;45
False;OpenDoorAction;MoveEast;MoveSouth;23;23;23;1;46
False;MoveNorth;MoveEast;MoveSouth;23;23;23;1;47
False;MoveNorth;MoveEast;MoveSouth;24;24;24;1;48
False;MoveNorthWest;MoveEast;MoveSouth;24;24;24;1;49
False;MoveNorthWest;MoveEast;MoveSouth;25;25;25;1;50
False;MoveNorthWest;MoveEast;MoveSouth;25;25;25;1;51
False;MoveNorthWest;MoveEast;MoveSouth;26;26;26;1;52
False;GrabObject;MoveEast;MoveSouth;26;26;26;1;53
False;GrabObject;MoveEast;MoveSouth;27;27;27;1;54
False;MoveSouthEast;MoveEast;MoveSouth;27;27;27;1;55
False;MoveSouthEast;MoveEast;MoveSouth;28;28;28;1;56
False;MoveSouthEast;OpenDoorAction;MoveSouth;28;28;28;1;57
False;MoveSouthEast;OpenDoorAction;MoveSouth;29;29;29;1;58
False;MoveSouthEast;MoveNorth;MoveSouth;29;29;29;1;59
False;MoveSouthEast;MoveNorth;MoveSouth;30;30;30;1;60
False;MoveSouthEast;GrabObject;MoveSouthEast;30;30;30;1;61
False;MoveSouthEast;GrabObject;MoveSouthEast;31;31;31;1;62
False;MoveEast;MoveSouthEast;MoveEast;31;31;31;1;63
False;MoveEast;MoveSouthEast;MoveEast;32;32;32;1;64
False;MoveEast;MoveSouthEast;MoveEast;32;32;32;1;65
False;MoveEast;MoveSouthEast;MoveEast;33;33;33;1;66
False;MoveEast;MoveSouthEast;MoveEast;33;33;33;1;67
False;MoveEast;MoveSouthEast;MoveEast;34;34;34;1;68
False;MoveEast;MoveSouth;MoveSouthEast;34;34;34;1;69
False;MoveEast;MoveSouth;MoveSouthEast;35;35;35;1;70
False;MoveEast;MoveSouth;MoveEast;35;35;35;1;71
False;MoveEast;MoveSouth;MoveEast;36;36;36;1;72
False;MoveEast;MoveSouth;MoveSouthEast;36;36;36;1;73
False;MoveEast;MoveSouth;MoveSouthEast;37;37;37;1;74
False;MoveSouthEast;MoveSouthWest;MoveEast;37;37;37;1;75
False;MoveSouthEast;MoveSouthWest;MoveEast;38;38;38;1;76
False;MoveSouth;MoveWest;MoveEast;38;38;38;1;77
False;MoveSouth;MoveWest;MoveEast;39;39;39;1;78
False;MoveSouth;MoveWest;MoveSouthEast;39;39;39;1;79
False;MoveSouth;MoveWest;MoveSouthEast;40;40;40;1;80
False;MoveSouth;MoveWest;DropObject;40;40;40;1;81
False;MoveSouth;MoveWest;DropObject;41;41;41;1;82
False;MoveSouthWest;MoveWest;MoveNorthWest;41;41;41;1;83
False;MoveSouthWest;MoveWest;MoveNorthWest;42;42;42;1;84
False;MoveWest;MoveSouthWest;MoveNorthWest;42;42;42;1;85
False;MoveWest;MoveSouthWest;MoveNorthWest;43;43;43;1;86
False;MoveWest;DropObject;MoveNorthWest;43;43;43;1;87
False;MoveWest;DropObject;MoveNorthWest;44;44;44;1;88
False;MoveWest;MoveWest;MoveWest;44;44;44;1;89
False;MoveWest;MoveWest;MoveWest;45;45;45;1;90
False;MoveWest;MoveNorthWest;MoveWest;45;45;45;1;91
False;MoveWest;MoveNorthWest;MoveWest;46;46;46;1;92
False;MoveSouthWest;MoveWest;MoveWest;46;46;46;1;93
False;MoveSouthWest;MoveWest;MoveWest;47;47;47;1;94
False;DropObject;OpenDoorAction;MoveWest;47;47;47;1;95
False;DropObject;OpenDoorAction;MoveWest;48;48;48;1;96
False;MoveWest;MoveNorth;MoveWest;48;48;48;1;97
False;MoveWest;MoveNorth;MoveWest;49;49;49;1;98
False;MoveWest;MoveNorthWest;MoveWest;49;49;49;1;99
False;MoveWest;MoveNorthWest;MoveWest;50;50;50;1;100
False;MoveWest;MoveNorthWest;MoveNorthWest;50;50;50;1;101
False;MoveWest;MoveNorthWest;MoveNorthWest;51;51;51;1;102
False;MoveWest;MoveSouth;MoveNorth;51;51;51;1;103
False;MoveWest;MoveSouth;MoveNorth;52;52;52;1;104
False;MoveWest;MoveNorthEast;MoveNorth;52;52;52;1;105
False;MoveWest;MoveNorthEast;MoveNorth;53;53;53;1;106
False;MoveWest;MoveSouth;MoveNorth;53;53;53;1;107
False;MoveWest;MoveSouth;MoveNorth;54;54;54;1;108
