done;strongagent0_acts;strongagent1_acts;strongagent2_acts;strongagent3_acts;strongagent4_acts;strongagent5_acts;strongagent0_mssg;strongagent1_mssg;strongagent2_mssg;strongagent3_mssg;strongagent4_mssg;strongagent5_mssg;world_nr;tick_nr
False;;;;;;;0;0;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthEast;0;0;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthEast;1;1;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthEast;1;1;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthEast;1;1;1;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthWest;MoveEast;1;1;1;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthWest;MoveEast;1;1;1;1;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;1;1;12
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;MoveEast;1;1;1;1;1;1;1;13
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;MoveEast;1;1;1;1;1;1;1;14
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;15
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;16
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;17
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;18
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;19
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;20
False;OpenDoorAction;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;21
False;OpenDoorAction;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;2;1;1;1;1;1;1;22
False;MoveNorth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;2;1;1;1;1;1;1;23
False;MoveNorth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;3;1;1;1;1;1;1;24
False;MoveNorthWest;MoveSouth;MoveSouthEast;MoveSouthEast;MoveEast;MoveEast;3;1;1;1;1;1;1;25
False;MoveNorthWest;MoveSouth;MoveSouthEast;MoveSouthEast;MoveEast;MoveEast;3;1;1;1;1;1;1;26
False;MoveNorthWest;MoveSouth;MoveEast;MoveEast;MoveEast;MoveEast;3;1;1;1;1;1;1;27
False;MoveNorthWest;MoveSouth;MoveEast;MoveEast;MoveEast;MoveEast;3;1;1;1;1;1;1;28
False;GrabObject;MoveSouth;MoveEast;MoveEast;MoveEast;MoveSouthEast;3;1;1;1;1;1;1;29
False;GrabObject;MoveSouth;MoveEast;MoveEast;MoveEast;MoveSouthEast;4;1;1;1;1;1;1;30
False;MoveSouthEast;MoveSouth;MoveEast;MoveEast;MoveEast;MoveSouth;4;1;1;1;1;1;1;31
False;MoveSouthEast;MoveSouth;MoveEast;MoveEast;MoveEast;MoveSouth;4;1;1;1;1;1;1;32
False;MoveSouthEast;MoveSouth;OpenDoorAction;OpenDoorAction;OpenDoorAction;MoveSouth;4;1;1;1;1;1;1;33
False;MoveSouthEast;MoveSouth;OpenDoorAction;OpenDoorAction;OpenDoorAction;MoveSouth;4;1;2;2;2;1;1;34
False;MoveSouthWest;MoveSouth;MoveNorth;MoveNorth;MoveNorth;MoveSouth;4;1;2;2;2;1;1;35
False;MoveSouthWest;MoveSouth;MoveNorth;MoveNorth;MoveNorth;MoveSouth;4;1;3;3;3;1;1;36
False;MoveSouthWest;MoveSouthEast;MoveNorthWest;MoveNorthWest;MoveNorthWest;MoveSouth;4;1;3;3;3;1;1;37
False;MoveSouthWest;MoveSouthEast;MoveNorthWest;MoveNorthWest;MoveNorthWest;MoveSouth;4;1;3;3;3;1;1;38
False;MoveWest;MoveEast;GrabObject;GrabObject;MoveNorthWest;MoveSouth;4;1;3;3;3;1;1;39
False;MoveWest;MoveEast;GrabObject;GrabObject;MoveNorthWest;MoveSouth;4;1;4;4;3;1;1;40
False;MoveSouthWest;MoveEast;MoveSouthEast;MoveSouthEast;MoveSouth;MoveSouth;4;1;4;4;3;1;1;41
False;MoveSouthWest;MoveEast;MoveSouthEast;MoveSouthEast;MoveSouth;MoveSouth;4;1;5;5;3;1;1;42
False;MoveSouth;MoveEast;MoveSouthWest;MoveSouthEast;MoveNorthEast;MoveSouth;4;1;5;5;3;1;1;43
False;MoveSouth;MoveEast;MoveSouthWest;MoveSouthEast;MoveNorthEast;MoveSouth;4;1;5;5;3;1;1;44
False;MoveSouth;MoveEast;MoveSouthWest;MoveEast;GrabObject;MoveSouth;4;1;5;5;3;1;1;45
False;MoveSouth;MoveEast;MoveSouthWest;MoveEast;GrabObject;MoveSouth;4;1;5;5;4;1;1;46
False;MoveSouth;MoveEast;MoveWest;MoveEast;MoveSouth;MoveSouth;4;1;5;5;4;1;1;47
False;MoveSouth;MoveEast;MoveWest;MoveEast;MoveSouth;MoveSouth;4;1;5;5;5;1;1;48
False;MoveSouth;MoveEast;MoveSouthWest;MoveEast;MoveSouthEast;MoveSouth;4;1;5;5;5;1;1;49
False;MoveSouth;MoveEast;MoveSouthWest;MoveEast;MoveSouthEast;MoveSouth;4;1;5;5;5;1;1;50
False;MoveSouth;MoveEast;MoveSouth;MoveEast;MoveSouthEast;MoveSouth;4;1;5;5;5;1;1;51
False;MoveSouth;MoveEast;MoveSouth;MoveEast;MoveSouthEast;MoveSouth;4;1;5;5;5;1;1;52
False;MoveSouth;MoveEast;MoveSouth;MoveEast;MoveSouthEast;MoveSouth;4;1;5;5;5;1;1;53
False;MoveSouth;MoveEast;MoveSouth;MoveEast;MoveSouthEast;MoveSouth;4;1;5;5;5;1;1;54
False;MoveSouth;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;4;1;5;5;5;1;1;55
