done;baseagent_acts;baseagent1_acts;baseagent2_acts;baseagent3_acts;baseagent_mssg;baseagent1_mssg;baseagent2_mssg;baseagent3_mssg;world_nr;tick_nr
False;;;;;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;12
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;1;1;1;1;1;13
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;1;1;1;1;1;14
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;15
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;16
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;17
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;18
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;19
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;20
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;21
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;22
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;23
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;24
False;MoveSouthEast;MoveSouth;MoveSouthEast;MoveEast;1;1;1;1;1;25
False;MoveSouthEast;MoveSouth;MoveSouthEast;MoveEast;1;1;1;1;1;26
False;MoveEast;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;27
False;MoveEast;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;28
False;MoveEast;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;29
False;MoveEast;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;30
False;MoveEast;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;31
False;MoveEast;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;32
False;MoveEast;MoveSouth;OpenDoorAction;OpenDoorAction;1;1;1;1;1;33
False;MoveEast;MoveSouth;OpenDoorAction;OpenDoorAction;1;1;2;2;1;34
False;MoveEast;MoveSouth;MoveNorth;MoveNorth;1;1;2;2;1;35
False;MoveEast;MoveSouth;MoveNorth;MoveNorth;1;1;3;3;1;36
False;MoveEast;MoveSouthEast;MoveNorthWest;MoveNorthWest;1;1;3;3;1;37
False;MoveEast;MoveSouthEast;MoveNorthWest;MoveNorthWest;1;1;3;3;1;38
False;MoveEast;MoveEast;GrabObject;MoveNorthWest;1;1;3;3;1;39
False;MoveEast;MoveEast;GrabObject;MoveNorthWest;1;1;4;3;1;40
False;MoveEast;MoveEast;MoveSouthEast;MoveSouth;1;1;4;3;1;41
False;MoveEast;MoveEast;MoveSouthEast;MoveSouth;1;1;4;3;1;42
False;MoveEast;MoveEast;MoveSouthWest;MoveNorthEast;1;1;4;3;1;43
False;MoveEast;MoveEast;MoveSouthWest;MoveNorthEast;1;1;4;3;1;44
False;MoveEast;MoveEast;MoveSouthWest;GrabObject;1;1;4;3;1;45
False;MoveEast;MoveEast;MoveSouthWest;GrabObject;1;1;4;4;1;46
False;MoveEast;MoveEast;MoveWest;MoveSouth;1;1;4;4;1;47
False;MoveEast;MoveEast;MoveWest;MoveSouth;1;1;4;4;1;48
