done;strongagent_acts;strongagent1_acts;strongagent2_acts;strongagent3_acts;strongagent_mssg;strongagent1_mssg;strongagent2_mssg;strongagent3_mssg;world_nr;tick_nr
False;;;;;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;12
False;MoveSouth;MoveSouthEast;MoveSouth;MoveSouthEast;1;1;1;1;1;13
False;MoveSouth;MoveSouthEast;MoveSouth;MoveSouthEast;1;1;1;1;1;14
False;MoveSouth;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;15
False;MoveSouth;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;16
False;MoveSouth;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;17
False;MoveSouth;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;18
False;MoveSouth;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;19
False;MoveSouth;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;20
False;MoveSouth;OpenDoorAction;MoveSouth;OpenDoorAction;1;1;1;1;1;21
False;MoveSouth;OpenDoorAction;MoveSouth;OpenDoorAction;1;2;1;2;1;22
False;MoveSouth;MoveNorth;MoveSouth;MoveNorth;1;2;1;2;1;23
False;MoveSouth;MoveNorth;MoveSouth;MoveNorth;1;3;1;3;1;24
False;MoveSouthEast;MoveNorthWest;MoveSouthEast;MoveNorthWest;1;3;1;3;1;25
False;MoveSouthEast;MoveNorthWest;MoveSouthEast;MoveNorthWest;1;3;1;3;1;26
False;MoveEast;MoveNorthWest;MoveEast;MoveNorthWest;1;3;1;3;1;27
False;MoveEast;MoveNorthWest;MoveEast;MoveNorthWest;1;3;1;3;1;28
False;MoveEast;GrabObject;MoveEast;GrabObject;1;3;1;3;1;29
False;MoveEast;GrabObject;MoveEast;GrabObject;1;4;1;4;1;30
False;MoveEast;MoveSouthEast;MoveEast;MoveSouthEast;1;4;1;4;1;31
False;MoveEast;MoveSouthEast;MoveEast;MoveSouthEast;1;4;1;5;1;32
False;MoveEast;MoveSouthEast;OpenDoorAction;MoveSouthEast;1;4;1;5;1;33
False;MoveEast;MoveSouthEast;OpenDoorAction;MoveSouthEast;1;4;2;5;1;34
False;MoveEast;MoveSouthWest;MoveNorth;MoveSouthWest;1;4;2;5;1;35
False;MoveEast;MoveSouthWest;MoveNorth;MoveSouthWest;1;4;3;5;1;36
False;MoveEast;MoveSouthWest;MoveNorthWest;MoveSouthWest;1;4;3;5;1;37
False;MoveEast;MoveSouthWest;MoveNorthWest;MoveSouthWest;1;4;3;5;1;38
False;MoveEast;MoveWest;GrabObject;MoveWest;1;4;3;5;1;39
False;MoveEast;MoveWest;GrabObject;MoveWest;1;4;4;5;1;40
False;MoveEast;MoveSouthWest;MoveSouthEast;MoveSouthWest;1;4;4;5;1;41
False;MoveEast;MoveSouthWest;MoveSouthEast;MoveSouthWest;1;4;5;5;1;42
False;MoveEast;MoveSouth;MoveSouthEast;MoveSouth;1;4;5;5;1;43
False;MoveEast;MoveSouth;MoveSouthEast;MoveSouth;1;4;5;5;1;44
False;MoveEast;MoveSouth;MoveEast;MoveSouth;1;4;5;5;1;45
False;MoveEast;MoveSouth;MoveEast;MoveSouth;1;4;5;5;1;46
False;MoveEast;MoveSouth;MoveEast;MoveSouth;1;4;5;5;1;47
