done;liaragent_acts;strongagent0_acts;blindagent_acts;lazyagent0_acts;liaragent_mssg;strongagent0_mssg;blindagent_mssg;lazyagent0_mssg;world_nr;tick_nr
False;;;;;0;0;0;0;1;0
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;0;0;0;0;1;1
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;2;2;2;2;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;2;2;2;2;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;3;3;3;3;1;6
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;3;3;3;3;1;7
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;4;4;4;4;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;4;4;4;4;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;5;5;5;5;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;5;5;5;5;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;6;6;6;6;1;12
False;MoveSouth;MoveSouth;MoveSouthEast;MoveSouthEast;6;6;6;6;1;13
False;MoveSouth;MoveSouth;MoveSouthEast;MoveSouthEast;7;7;7;7;1;14
False;MoveSouth;MoveSouth;MoveEast;MoveEast;7;7;7;7;1;15
False;MoveSouth;MoveSouth;MoveEast;MoveEast;8;8;8;8;1;16
False;MoveSouth;MoveSouth;MoveEast;MoveEast;8;8;8;8;1;17
False;MoveSouth;MoveSouth;MoveEast;MoveEast;9;9;9;9;1;18
False;MoveSouth;MoveSouth;MoveEast;MoveEast;9;9;9;9;1;19
False;MoveSouth;MoveSouth;MoveEast;MoveEast;10;10;10;10;1;20
False;MoveSouth;MoveSouth;OpenDoorAction;MoveEast;10;10;10;10;1;21
