done;strongagent1_acts;strongagent2_acts;lazyagent_acts;lazyagent1_acts;strongagent1_mssg;strongagent2_mssg;lazyagent_mssg;lazyagent1_mssg;world_nr;tick_nr
False;;;;;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;12
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;13
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;14
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;15
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;16
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;17
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;18
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;19
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;20
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;21
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;22
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;23
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;24
False;MoveEast;MoveSouth;MoveSouthEast;MoveSouth;1;1;1;1;1;25
False;MoveEast;MoveSouth;MoveSouthEast;MoveSouth;1;1;1;1;1;26
False;MoveEast;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;27
False;MoveEast;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;28
False;MoveEast;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;29
False;MoveEast;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;30
False;MoveEast;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;31
False;MoveEast;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;32
False;OpenDoorAction;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;33
False;OpenDoorAction;MoveSouth;MoveEast;MoveSouth;2;1;1;1;1;34
False;MoveNorth;MoveSouth;MoveEast;MoveSouth;2;1;1;1;1;35
False;MoveNorth;MoveSouth;MoveEast;MoveSouth;3;1;1;1;1;36
False;MoveNorthWest;MoveSouthEast;MoveEast;MoveSouthEast;3;1;1;1;1;37
False;MoveNorthWest;MoveSouthEast;MoveEast;MoveSouthEast;3;1;1;1;1;38
False;MoveNorthWest;MoveEast;MoveEast;MoveEast;3;1;1;1;1;39
False;MoveNorthWest;MoveEast;MoveEast;MoveEast;3;1;1;1;1;40
False;MoveSouth;MoveEast;MoveEast;MoveEast;3;1;1;1;1;41
False;MoveSouth;MoveEast;MoveEast;MoveEast;3;1;1;1;1;42
False;MoveNorthEast;MoveEast;MoveEast;MoveEast;3;1;1;1;1;43
False;MoveNorthEast;MoveEast;MoveEast;MoveEast;3;1;1;1;1;44
False;GrabObject;OpenDoorAction;OpenDoorAction;MoveEast;3;1;1;1;1;45
False;GrabObject;OpenDoorAction;OpenDoorAction;MoveEast;4;2;2;1;1;46
False;MoveSouth;MoveNorth;MoveNorth;MoveEast;4;2;2;1;1;47
False;MoveSouth;MoveNorth;MoveNorth;MoveEast;5;3;3;1;1;48
