done;strongagent_acts;strongagent1_acts;blindagent_acts;secondblind_acts;thirdblind_acts;fourthblind_acts;strongagent_mssg;strongagent1_mssg;blindagent_mssg;secondblind_mssg;thirdblind_mssg;fourthblind_mssg;world_nr;tick_nr
False;;;;;;;0;0;0;0;0;0;1;0
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;MoveSouthWest;0;0;0;0;0;0;1;1
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;MoveSouthWest;1;1;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthEast;MoveSouthWest;1;1;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthEast;MoveSouthWest;1;1;1;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveEast;MoveWest;1;1;1;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveEast;MoveWest;1;1;1;1;1;1;1;6
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouthWest;1;1;1;1;1;1;1;7
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouthWest;1;1;1;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;1;1;12
False;MoveSouth;MoveSouth;MoveSouthEast;MoveSouthEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;13
False;MoveSouth;MoveSouth;MoveSouthEast;MoveSouthEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;14
False;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;15
False;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;16
False;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;17
False;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;18
False;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;19
False;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;20
False;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;21
False;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;22
False;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;23
False;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;24
False;MoveSouthEast;MoveSouthEast;MoveEast;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;25
False;MoveSouthEast;MoveSouthEast;MoveEast;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;26
False;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;27
False;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;28
False;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;29
False;MoveEast;MoveEast;MoveEast;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;30
False;MoveEast;MoveEast;MoveEast;MoveEast;MoveSouthEast;MoveSouth;1;1;1;1;1;1;1;31
False;MoveEast;MoveEast;MoveEast;MoveEast;MoveSouthEast;MoveSouth;1;1;1;1;1;1;1;32
False;OpenDoorAction;MoveEast;MoveEast;OpenDoorAction;MoveSouth;MoveSouth;1;1;1;1;1;1;1;33
False;OpenDoorAction;MoveEast;MoveEast;OpenDoorAction;MoveSouth;MoveSouth;2;1;1;2;1;1;1;34
False;MoveNorth;MoveEast;MoveEast;MoveNorth;MoveSouth;MoveSouth;2;1;1;2;1;1;1;35
False;MoveNorth;MoveEast;MoveEast;MoveNorth;MoveSouth;MoveSouth;3;1;1;3;1;1;1;36
False;MoveNorthWest;MoveEast;MoveEast;MoveNorthWest;MoveSouth;MoveSouth;3;1;1;3;1;1;1;37
False;MoveNorthWest;MoveEast;MoveEast;MoveNorthWest;MoveSouth;MoveSouth;3;1;1;3;1;1;1;38
False;GrabObject;MoveEast;MoveEast;MoveNorthWest;MoveSouth;MoveSouthEast;3;1;1;3;1;1;1;39
False;GrabObject;MoveEast;MoveEast;MoveNorthWest;MoveSouth;MoveSouthEast;4;1;1;3;1;1;1;40
False;MoveSouthEast;MoveEast;MoveEast;MoveSouth;MoveSouth;MoveEast;4;1;1;3;1;1;1;41
False;MoveSouthEast;MoveEast;MoveEast;MoveSouth;MoveSouth;MoveEast;5;1;1;3;1;1;1;42
False;MoveSouthWest;MoveEast;MoveEast;MoveNorthEast;MoveSouth;MoveEast;5;1;1;3;1;1;1;43
False;MoveSouthWest;MoveEast;MoveEast;MoveNorthEast;MoveSouth;MoveEast;5;1;1;3;1;1;1;44
False;MoveSouthWest;OpenDoorAction;OpenDoorAction;GrabObject;MoveSouth;MoveEast;5;1;1;3;1;1;1;45
False;MoveSouthWest;OpenDoorAction;OpenDoorAction;GrabObject;MoveSouth;MoveEast;5;2;2;4;1;1;1;46
False;MoveWest;MoveNorth;MoveNorth;MoveSouth;MoveSouth;MoveEast;5;2;2;4;1;1;1;47
False;MoveWest;MoveNorth;MoveNorth;MoveSouth;MoveSouth;MoveEast;5;3;3;4;1;1;1;48
False;MoveSouthWest;MoveNorthWest;MoveNorthWest;MoveSouthEast;MoveSouth;MoveEast;5;3;3;4;1;1;1;49
False;MoveSouthWest;MoveNorthWest;MoveNorthWest;MoveSouthEast;MoveSouth;MoveEast;5;3;3;4;1;1;1;50
False;MoveSouth;MoveNorthWest;GrabObject;MoveSouthEast;MoveSouth;MoveEast;5;3;3;4;1;1;1;51
False;MoveSouth;MoveNorthWest;GrabObject;MoveSouthEast;MoveSouth;MoveEast;5;3;4;4;1;1;1;52
False;MoveSouth;GrabObject;MoveSouthEast;MoveSouthEast;MoveSouth;MoveEast;5;3;4;4;1;1;1;53
False;MoveSouth;GrabObject;MoveSouthEast;MoveSouthEast;MoveSouth;MoveEast;5;4;4;4;1;1;1;54
False;MoveSouth;MoveSouthEast;MoveSouthEast;MoveEast;MoveSouth;MoveEast;5;4;4;4;1;1;1;55
False;MoveSouth;MoveSouthEast;MoveSouthEast;MoveEast;MoveSouth;MoveEast;5;5;4;4;1;1;1;56
False;MoveSouthEast;MoveSouthEast;MoveSouthEast;MoveEast;MoveSouth;MoveEast;5;5;4;4;1;1;1;57
False;MoveSouthEast;MoveSouthEast;MoveSouthEast;MoveEast;MoveSouth;MoveEast;5;5;4;4;1;1;1;58
False;MoveEast;MoveSouthWest;MoveSouthEast;MoveEast;MoveSouth;OpenDoorAction;5;5;4;4;1;1;1;59
False;MoveEast;MoveSouthWest;MoveSouthEast;MoveEast;MoveSouth;OpenDoorAction;5;5;4;4;1;2;1;60
False;MoveEast;MoveSouthWest;MoveSouth;MoveEast;MoveSouth;MoveNorth;5;5;4;4;1;2;1;61
False;MoveEast;MoveSouthWest;MoveSouth;MoveEast;MoveSouth;MoveNorth;5;5;4;4;1;3;1;62
False;MoveEast;MoveWest;MoveSouth;MoveEast;MoveSouthWest;MoveNorthWest;5;5;4;4;1;3;1;63
False;MoveEast;MoveWest;MoveSouth;MoveEast;MoveSouthWest;MoveNorthWest;5;5;4;4;1;3;1;64
False;OpenDoorAction;MoveWest;MoveSouth;MoveEast;MoveWest;MoveNorthWest;5;5;4;4;1;3;1;65
False;OpenDoorAction;MoveWest;MoveSouth;MoveEast;MoveWest;MoveNorthWest;6;5;4;4;1;3;1;66
False;MoveNorth;MoveWest;MoveSouth;MoveSouthEast;MoveWest;MoveSouth;6;5;4;4;1;3;1;67
False;MoveNorth;MoveWest;MoveSouth;MoveSouthEast;MoveWest;MoveSouth;7;5;4;4;1;3;1;68
False;MoveNorthWest;MoveWest;MoveSouth;MoveSouth;OpenDoorAction;MoveNorthEast;7;5;4;4;1;3;1;69
False;MoveNorthWest;MoveWest;MoveSouth;MoveSouth;OpenDoorAction;MoveNorthEast;7;5;4;4;2;3;1;70
False;MoveNorthWest;MoveWest;MoveSouth;MoveSouth;MoveNorth;MoveSouth;7;5;4;4;2;3;1;71
False;MoveNorthWest;MoveWest;MoveSouth;MoveSouth;MoveNorth;MoveSouth;7;5;4;4;3;3;1;72
False;MoveSouth;MoveWest;MoveSouth;MoveSouth;MoveNorthWest;MoveNorthEast;7;5;4;4;3;3;1;73
False;MoveSouth;MoveWest;MoveSouth;MoveSouth;MoveNorthWest;MoveNorthEast;7;5;4;4;3;3;1;74
False;MoveNorthEast;MoveWest;MoveSouth;MoveSouth;MoveNorthWest;MoveSouth;7;5;4;4;3;3;1;75
False;MoveNorthEast;MoveWest;MoveSouth;MoveSouth;MoveNorthWest;MoveSouth;7;5;4;4;3;3;1;76
False;MoveSouth;MoveSouthWest;MoveSouth;MoveSouth;MoveSouth;MoveNorthEast;7;5;4;4;3;3;1;77
False;MoveSouth;MoveSouthWest;MoveSouth;MoveSouth;MoveSouth;MoveNorthEast;7;5;4;4;3;3;1;78
False;MoveNorthEast;MoveSouth;MoveSouthWest;MoveSouth;MoveNorthEast;MoveSouth;7;5;4;4;3;3;1;79
False;MoveNorthEast;MoveSouth;MoveSouthWest;MoveSouth;MoveNorthEast;MoveSouth;7;5;4;4;3;3;1;80
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouth;MoveSouth;MoveSouthWest;7;5;4;4;3;3;1;81
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouth;MoveSouth;MoveSouthWest;7;5;4;4;3;4;1;82
False;MoveNorthEast;MoveSouth;MoveSouthWest;MoveSouth;MoveNorthEast;MoveSouthEast;7;5;4;4;3;4;1;83
False;MoveNorthEast;MoveSouth;MoveSouthWest;MoveSouth;MoveNorthEast;MoveSouthEast;7;5;4;4;3;4;1;84
False;MoveSouth;MoveSouthEast;MoveWest;MoveSouth;MoveSouth;MoveEast;7;5;4;4;3;4;1;85
False;MoveSouth;MoveSouthEast;MoveWest;MoveSouth;MoveSouth;MoveEast;7;5;4;4;3;4;1;86
