done;strongagent_acts;strongagent1_acts;blindagent_acts;secondblind_acts;strongagent_mssg;strongagent1_mssg;blindagent_mssg;secondblind_mssg;world_nr;tick_nr
False;;;;;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;12
False;MoveSouth;MoveSouthEast;MoveSouthEast;MoveSouth;1;1;1;1;1;13
False;MoveSouth;MoveSouthEast;MoveSouthEast;MoveSouth;1;1;1;1;1;14
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;15
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;16
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;17
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;18
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;19
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;20
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;21
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;22
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;23
False;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;1;1;1;24
False;MoveSouthEast;MoveEast;MoveEast;MoveSouthEast;1;1;1;1;1;25
False;MoveSouthEast;MoveEast;MoveEast;MoveSouthEast;1;1;1;1;1;26
False;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;1;1;27
False;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;1;1;28
False;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;1;1;29
False;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;1;1;30
False;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;1;1;31
False;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;1;1;32
False;MoveEast;OpenDoorAction;OpenDoorAction;MoveEast;1;1;1;1;1;33
False;MoveEast;OpenDoorAction;OpenDoorAction;MoveEast;1;2;2;1;1;34
False;MoveEast;MoveNorth;MoveNorth;MoveEast;1;2;2;1;1;35
False;MoveEast;MoveNorth;MoveNorth;MoveEast;1;3;3;1;1;36
False;MoveEast;MoveNorthWest;MoveNorthWest;MoveEast;1;3;3;1;1;37
False;MoveEast;MoveNorthWest;MoveNorthWest;MoveEast;1;3;3;1;1;38
False;MoveEast;MoveNorthWest;MoveNorthWest;MoveEast;1;3;3;1;1;39
False;MoveEast;MoveNorthWest;MoveNorthWest;MoveEast;1;3;3;1;1;40
False;MoveEast;MoveSouth;MoveSouth;MoveEast;1;3;3;1;1;41
False;MoveEast;MoveSouth;MoveSouth;MoveEast;1;3;3;1;1;42
False;MoveEast;MoveNorthEast;MoveNorthEast;MoveEast;1;3;3;1;1;43
False;MoveEast;MoveNorthEast;MoveNorthEast;MoveEast;1;3;3;1;1;44
False;MoveEast;GrabObject;GrabObject;MoveEast;1;3;3;1;1;45
False;MoveEast;GrabObject;GrabObject;MoveEast;1;4;4;1;1;46
False;MoveEast;MoveSouthEast;MoveSouthEast;MoveEast;1;4;4;1;1;47
False;MoveEast;MoveSouthEast;MoveSouthEast;MoveEast;1;5;5;1;1;48
False;MoveEast;MoveSouth;MoveSouth;MoveEast;1;5;5;1;1;49
