done;liaragent_acts;strongagent0_acts;blindagent_acts;lazyagent_acts;liaragent_mssg;strongagent0_mssg;blindagent_mssg;lazyagent_mssg;world_nr;tick_nr
False;;;;;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;2;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;2;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;2;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;2;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;2;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;2;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;2;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;2;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;2;1;12
False;MoveSouthEast;MoveSouthEast;MoveSouth;MoveSouthEast;1;1;1;2;1;13
False;MoveSouthEast;MoveSouthEast;MoveSouth;MoveSouthEast;1;1;1;2;1;14
False;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;2;1;15
False;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;2;1;16
False;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;2;1;17
False;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;2;1;18
False;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;2;1;19
False;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;2;1;20
False;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;2;1;21
False;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;2;1;22
False;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;2;1;23
False;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;2;1;24
False;MoveEast;MoveEast;MoveSouthEast;MoveEast;1;1;1;2;1;25
False;MoveEast;MoveEast;MoveSouthEast;MoveEast;1;1;1;2;1;26
False;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;2;1;27
False;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;2;1;28
False;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;2;1;29
False;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;2;1;30
False;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;2;1;31
False;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;2;1;32
False;MoveEast;OpenDoorAction;OpenDoorAction;MoveEast;1;1;1;2;1;33
False;MoveEast;OpenDoorAction;OpenDoorAction;MoveEast;1;2;2;2;1;34
False;MoveEast;MoveNorth;MoveNorth;MoveEast;1;2;2;2;1;35
False;MoveEast;MoveNorth;MoveNorth;MoveEast;1;3;3;2;1;36
False;MoveEast;MoveNorthWest;MoveNorthWest;MoveEast;1;3;3;2;1;37
False;MoveEast;MoveNorthWest;MoveNorthWest;MoveEast;1;3;3;2;1;38
False;MoveEast;MoveNorthWest;MoveNorthWest;MoveEast;1;3;3;2;1;39
False;MoveEast;MoveNorthWest;MoveNorthWest;MoveEast;1;3;3;2;1;40
False;MoveEast;MoveSouth;MoveSouth;MoveEast;1;3;3;2;1;41
False;MoveEast;MoveSouth;MoveSouth;MoveEast;1;3;3;2;1;42
False;MoveEast;MoveNorthEast;MoveNorthEast;MoveEast;1;3;3;2;1;43
False;MoveEast;MoveNorthEast;MoveNorthEast;MoveEast;1;3;3;2;1;44
False;OpenDoorAction;GrabObject;MoveSouth;OpenDoorAction;1;3;3;2;1;45
False;OpenDoorAction;GrabObject;MoveSouth;OpenDoorAction;2;4;3;3;1;46
False;MoveNorth;MoveSouth;MoveNorthEast;MoveNorth;2;4;3;3;1;47
False;MoveNorth;MoveSouth;MoveNorthEast;MoveNorth;3;5;3;4;1;48
False;MoveNorthWest;MoveSouthEast;MoveSouth;MoveNorthWest;3;5;3;4;1;49
