done;baseagent0_acts;baseagent1_acts;baseagent2_acts;baseagent3_acts;baseagent0_mssg;baseagent1_mssg;baseagent2_mssg;baseagent3_mssg;world_nr;tick_nr
False;;;;;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;12
False;MoveSouthEast;MoveSouthEast;MoveSouth;MoveSouthEast;1;1;1;1;1;13
False;MoveSouthEast;MoveSouthEast;MoveSouth;MoveSouthEast;1;1;1;1;1;14
False;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;15
False;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;16
False;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;17
False;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;18
False;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;19
False;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;20
False;OpenDoorAction;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;21
False;OpenDoorAction;MoveEast;MoveSouth;MoveEast;2;1;1;1;1;22
False;MoveNorth;MoveEast;MoveSouth;MoveEast;2;1;1;1;1;23
False;MoveNorth;MoveEast;MoveSouth;MoveEast;3;1;1;1;1;24
False;MoveNorthWest;MoveEast;MoveSouthEast;MoveEast;3;1;1;1;1;25
False;MoveNorthWest;MoveEast;MoveSouthEast;MoveEast;3;1;1;1;1;26
False;MoveNorthWest;MoveEast;MoveEast;MoveEast;3;1;1;1;1;27
False;MoveNorthWest;MoveEast;MoveEast;MoveEast;3;1;1;1;1;28
False;GrabObject;MoveEast;MoveEast;MoveEast;3;1;1;1;1;29
False;GrabObject;MoveEast;MoveEast;MoveEast;4;1;1;1;1;30
False;MoveSouthEast;MoveEast;MoveEast;MoveEast;4;1;1;1;1;31
False;MoveSouthEast;MoveEast;MoveEast;MoveEast;4;1;1;1;1;32
False;MoveSouthEast;OpenDoorAction;MoveEast;MoveEast;4;1;1;1;1;33
False;MoveSouthEast;OpenDoorAction;MoveEast;MoveEast;4;2;1;1;1;34
False;MoveSouthWest;MoveNorth;MoveEast;MoveEast;4;2;1;1;1;35
False;MoveSouthWest;MoveNorth;MoveEast;MoveEast;4;3;1;1;1;36
False;MoveSouthWest;MoveNorthWest;MoveEast;MoveEast;4;3;1;1;1;37
False;MoveSouthWest;MoveNorthWest;MoveEast;MoveEast;4;3;1;1;1;38
False;MoveWest;MoveNorthWest;MoveEast;MoveEast;4;3;1;1;1;39
False;MoveWest;MoveNorthWest;MoveEast;MoveEast;4;3;1;1;1;40
False;MoveSouthWest;MoveSouth;MoveEast;MoveEast;4;3;1;1;1;41
False;MoveSouthWest;MoveSouth;MoveEast;MoveEast;4;3;1;1;1;42
False;MoveSouth;MoveNorthEast;MoveEast;MoveEast;4;3;1;1;1;43
False;MoveSouth;MoveNorthEast;MoveEast;MoveEast;4;3;1;1;1;44
False;MoveSouth;GrabObject;MoveEast;OpenDoorAction;4;3;1;1;1;45
False;MoveSouth;GrabObject;MoveEast;OpenDoorAction;4;4;1;2;1;46
False;MoveSouth;MoveSouth;MoveEast;MoveNorth;4;4;1;2;1;47
False;MoveSouth;MoveSouth;MoveEast;MoveNorth;4;4;1;3;1;48
