done;strongagent1_acts;strongagent2_acts;lazyagent0_acts;lazyagent1_acts;lazyagent2_acts;lazyagent3_acts;lazyagent4_acts;lazyagent5_acts;strongagent1_mssg;strongagent2_mssg;lazyagent0_mssg;lazyagent1_mssg;lazyagent2_mssg;lazyagent3_mssg;lazyagent4_mssg;lazyagent5_mssg;world_nr;tick_nr
False;;;;;;;;;0;0;0;0;0;0;0;0;1;0
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthWest;MoveSouthEast;0;0;0;0;0;0;0;0;1;1
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthWest;MoveSouthEast;1;1;1;1;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthWest;MoveSouthWest;MoveSouthEast;1;1;1;1;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthWest;MoveSouthWest;MoveSouthEast;1;1;1;2;1;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthWest;MoveWest;MoveWest;MoveEast;1;1;1;2;1;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthWest;MoveWest;MoveWest;MoveEast;1;1;1;3;1;1;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveWest;MoveEast;1;1;1;3;1;1;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveWest;MoveEast;1;1;1;4;1;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveEast;1;1;1;4;1;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveEast;1;1;1;4;1;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;4;1;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;4;1;1;1;1;1;12
False;MoveSouth;MoveSouthEast;MoveSouth;MoveSouth;MoveSouthEast;MoveSouth;MoveSouth;MoveEast;1;1;1;4;1;1;1;1;1;13
False;MoveSouth;MoveSouthEast;MoveSouth;MoveSouth;MoveSouthEast;MoveSouth;MoveSouth;MoveEast;1;1;1;4;1;1;1;1;1;14
False;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveEast;MoveSouthEast;MoveSouth;MoveEast;1;1;1;4;1;1;1;1;1;15
False;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveEast;MoveSouthEast;MoveSouth;MoveEast;1;1;1;4;1;1;1;1;1;16
False;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveSouthEast;MoveEast;1;1;1;4;1;1;1;1;1;17
False;MoveSouth;MoveEast;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveSouthEast;MoveEast;1;1;1;4;1;1;1;1;1;18
False;MoveSouthEast;MoveEast;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;4;1;1;1;1;1;19
False;MoveSouthEast;MoveEast;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;4;1;1;1;1;1;20
False;MoveSouth;MoveEast;MoveSouth;MoveSouth;OpenDoorAction;MoveEast;MoveEast;MoveEast;1;1;1;4;1;1;1;1;1;21
False;MoveSouth;MoveEast;MoveSouth;MoveSouth;OpenDoorAction;MoveEast;MoveEast;MoveEast;1;1;1;4;2;1;1;1;1;22
